# Generated by scripts/make_figures.py from the archived artifacts.
# Do not edit by hand; run `python scripts/make_figures.py` instead.
# index 1: Aer, ideal sampling (artifacts/hardware/aer/)
# index 2: calibrated noise, torino snapshot (artifacts/hardware/fake_faketorino/)
# index 3: physical device, ibm_kingston (artifacts/hardware/hardware_ibm_kingston/)
index ehat stderr eref
1 -4.636914 0.025848 -4.653959
2 -4.489902 0.026325 -4.653959
3 -4.431977 0.026635 -4.653959
